,original,radar,syntax
10,"static boolean isWordPresent ( String sentence , String word ) {
  String [ ] s = sentence . split ( "" "" ) ;
  for ( String temp : s ) {
    if ( temp . compareTo ( word ) == 0 ) {
      return true ;
    }
  }
  return false ;
}
","static boolean possibleWordReachable ( String sentence , String word ) {
  String [ ] s = sentence . split ( "" "" ) ;
  for ( String temp : s ) {
    if ( temp . compareTo ( word ) == 0 ) {
      return true ;
    }
  }
  return false ;
}
","static boolean isWordPresent ( String sentence , String word ) {
  String [ ] s = sentence . split ( "" "" ) ;
  for ( String temp : s ) {
    if ( 0 == temp . compareTo ( word ) ) {
      return true ;
    }
  }
  return false ;
}"
11,"static int countChars ( String str , int n ) {
  int i = 0 , cnt = 0 ;
  while ( i < n ) {
    if ( str . charAt ( i ) == '0' ) i += 1 ;
    else i += 2 ;
    cnt += 1 ;
  }
  return cnt ;
}
","static int coutnChars ( String str , int n ) {
  int i = 0 , cnt = 0 ;
  while ( i < n ) {
    if ( str . charAt ( i ) == '0' ) i += 1 ;
    else i += 2 ;
    cnt += 1 ;
  }
  return cnt ;
}
","static int countChars ( String str , int n ) {
  int i = 0 , cnt = 0 ;
  while ( i < n ) {
    if ( '0' == str . charAt ( i ) ) i = i + 1 ;
    else i = i + 2 ;
    cnt = cnt + 1 ;
  }
  return cnt ;
}"
12,"static String smallestPoss ( String s , int n ) {
  String ans = """" ;
  int arr [ ] = new int [ 10 ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    arr [ s . charAt ( i ) - 48 ] ++ ;
  }
  for ( int i = 0 ;
  i < 10 ;
  i ++ ) {
    for ( int j = 0 ;
    j < arr [ i ] ;
    j ++ ) ans = ans + String . valueOf ( i ) ;
  }
  return ans ;
}
","static String smallestPss ( String s , int n ) {
  String ans = """" ;
  int arr [ ] = new int [ 10 ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    arr [ s . charAt ( i ) - 48 ] ++ ;
  }
  for ( int i = 0 ;
  i < 10 ;
  i ++ ) {
    for ( int j = 0 ;
    j < arr [ i ] ;
    j ++ ) ans = ans + String . valueOf ( i ) ;
  }
  return ans ;
}
","static String smallestPoss ( String s , int n ) {
  String ans = """" ;
  int arr [ ] = new int [ 10 ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    arr [ s . charAt ( i ) - 48 ] ++ ;
  }
  for ( int i = 0 ;
  i < 10 ;
  i ++ ) {
    for ( int j = 0 ;
    arr [ i ] > j ;
    j ++ ) ans = ans + String . valueOf ( i ) ;
  }
  return ans ;
}"
13,"static int totalBoxesRemoved ( int arr [ ] , int n ) {
  int count = 0 ;
  int prev = arr [ 0 ] ;
  for ( int i = 1 ;
  i < n ;
  i ++ ) {
    if ( arr [ i ] > prev ) {
      count += ( arr [ i ] - prev ) ;
      arr [ i ] = prev ;
      prev = arr [ i ] ;
    }
    else {
      prev = arr [ i ] ;
    }
  }
  return count ;
}
","static int totalDivRemovde ( int arr [ ] , int n ) {
  int count = 0 ;
  int prev = arr [ 0 ] ;
  for ( int i = 1 ;
  i < n ;
  i ++ ) {
    if ( arr [ i ] > prev ) {
      count += ( arr [ i ] - prev ) ;
      arr [ i ] = prev ;
      prev = arr [ i ] ;
    }
    else {
      prev = arr [ i ] ;
    }
  }
  return count ;
}
","static int totalBoxesRemoved ( int arr [ ] , int n ) {
  int count = 0 ;
  int prev = arr [ 0 ] ;
  int i = 1 ;
  while ( i < n ) {
    if ( arr [ i ] <= prev ) {
      prev = arr [ i ] ;
    }
    else {
      count += ( arr [ i ] - prev ) ;
      arr [ i ] = prev ;
      prev = arr [ i ] ;
    }
    i ++ ;
  }
  return count ;
}"
14,"static int numLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) {
    return - 1 ;
  }
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = number * 10 + 1 ;
    if ( ( number % K == 0 ) ) {
      return len ;
    }
  }
  return - 1 ;
}
","static int nmuLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) {
    return - 1 ;
  }
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = number * 10 + 1 ;
    if ( ( number % K == 0 ) ) {
      return len ;
    }
  }
  return - 1 ;
}
","static int numLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) {
    return - 1 ;
  }
  int number = 0 ;
  int len = 1 ;
  len = 1 ;
  while ( len <= K ) {
    number = number * 10 + 1 ;
    if ( ( 0 == number % K ) ) {
      len ++ ;
      return len ;
    }
    len ++ ;
  }
  return - 1 ;
}"
15,"public static int numLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) return - 1 ;
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = ( number * 10 + 1 ) % K ;
    if ( number == 0 ) return len ;
  }
  return - 1 ;
}
","public static int digitLne ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) return - 1 ;
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = ( number * 10 + 1 ) % K ;
    if ( number == 0 ) return len ;
  }
  return - 1 ;
}
","public static int numLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) return - 1 ;
  int number = 0 ;
  int len = 1 ;
  len = 1 ;
  while ( len <= K ) {
    number = ( number * 10 + 1 ) % K ;
    if ( number == 0 ) len ++ ;
    return len ;
    len ++ ;
  }
  return - 1 ;
}"
16,"static int countSubarray ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( sum + arr [ j ] < k ) {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
      else {
        break ;
      }
    }
  }
  return count ;
}
","static int countPublic ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( sum + arr [ j ] < k ) {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
      else {
        break ;
      }
    }
  }
  return count ;
}
","static int countSubarray ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  int i = 0 ;
  while ( i < n ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( k <= sum + arr [ j ] ) {
        i ++ ;
        break ;
      }
      else {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
    }
    i ++ ;
  }
  return count ;
}"
17,"static int countNumbers ( int L , int R , int K ) {
  if ( K == 9 ) {
    K = 0 ;
  }
  int totalnumbers = R - L + 1 ;
  int factor9 = totalnumbers / 9 ;
  int rem = totalnumbers % 9 ;
  int ans = factor9 ;
  for ( int i = R ;
  i > R - rem ;
  i -- ) {
    int rem1 = i % 9 ;
    if ( rem1 == K ) {
      ans ++ ;
    }
  }
  return ans ;
}
","static int countNubers ( int L , int R , int K ) {
  if ( K == 9 ) {
    K = 0 ;
  }
  int totalnumbers = R - L + 1 ;
  int factor9 = totalnumbers / 9 ;
  int rem = totalnumbers % 9 ;
  int ans = factor9 ;
  for ( int i = R ;
  i > R - rem ;
  i -- ) {
    int rem1 = i % 9 ;
    if ( rem1 == K ) {
      ans ++ ;
    }
  }
  return ans ;
}
","static int countNumbers ( int L , int R , int K ) {
  if ( K == 9 ) {
    K = 0 ;
  }
  int totalnumbers = R - L + 1 ;
  int factor9 = totalnumbers / 9 ;
  int rem = totalnumbers % 9 ;
  int ans = factor9 ;
  for ( int i = R ;
  R - rem < i ;
  i -- ) {
    int rem1 = i % 9 ;
    if ( rem1 == K ) {
      ans ++ ;
    }
  }
  return ans ;
}"
18,"static int FindElement ( int [ ] A , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int flag = 0 ;
    for ( int j = 0 ;
    j < i ;
    j ++ ) if ( A [ j ] >= A [ i ] ) {
      flag = 1 ;
      break ;
    }
    for ( int j = i + 1 ;
    j < n ;
    j ++ ) if ( A [ j ] <= A [ i ] ) {
      flag = 1 ;
      break ;
    }
    if ( flag == 0 ) return A [ i ] ;
  }
  return - 1 ;
}
","static int finEleemnt ( int [ ] A , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int flag = 0 ;
    for ( int j = 0 ;
    j < i ;
    j ++ ) if ( A [ j ] >= A [ i ] ) {
      flag = 1 ;
      break ;
    }
    for ( int j = i + 1 ;
    j < n ;
    j ++ ) if ( A [ j ] <= A [ i ] ) {
      flag = 1 ;
      break ;
    }
    if ( flag == 0 ) return A [ i ] ;
  }
  return - 1 ;
}
","static int FindElement ( int [ ] A , int n ) {
  int i = 0 ;
  while ( i < n ) {
    int flag = 0 ;
    for ( int j = 0 ;
    j < i ;
    j ++ ) if ( A [ j ] >= A [ i ] ) {
      flag = 1 ;
      i ++ ;
      break ;
    }
    for ( int j = i + 1 ;
    n > j ;
    j ++ ) if ( A [ j ] <= A [ i ] ) {
      flag = 1 ;
      i ++ ;
      break ;
    }
    if ( flag == 0 ) i ++ ;
    return A [ i ] ;
    i ++ ;
  }
  return - 1 ;
}"
19,"static int countKdivPairs ( int A [ ] , int n , int K ) {
  int [ ] freq = new int [ K ] ;
  int ans = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int rem = A [ i ] % K ;
    if ( rem != 0 ) ans += freq [ K - rem ] ;
    else ans += freq [ 0 ] ;
    freq [ rem ] ++ ;
  }
  return ans ;
}
","static int cuontDivisiblesPairs ( int A [ ] , int n , int K ) {
  int [ ] freq = new int [ K ] ;
  int ans = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int rem = A [ i ] % K ;
    if ( rem != 0 ) ans += freq [ K - rem ] ;
    else ans += freq [ 0 ] ;
    freq [ rem ] ++ ;
  }
  return ans ;
}
","static int countKdivPairs ( int A [ ] , int n , int K ) {
  int [ ] freq = new int [ K ] ;
  int ans = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int rem = A [ i ] % K ;
    if ( rem != 0 ) ans = ans + freq [ K - rem ] ;
    else ans = ans + freq [ 0 ] ;
    freq [ rem ] ++ ;
  }
  return ans ;
}"
20,"static Vector missing_elements ( Vector vec ) {
  Vector mis = new Vector ( ) ;
  for ( int i = 0 ;
  i < vec . size ( ) ;
  i ++ ) {
    int temp = Math . abs ( ( int ) vec . get ( i ) ) - 1 ;
    if ( ( int ) vec . get ( temp ) > 0 ) vec . set ( temp , - ( int ) vec . get ( temp ) ) ;
    else vec . set ( temp , vec . get ( temp ) ) ;
  }
  for ( int i = 0 ;
  i < vec . size ( ) ;
  i ++ ) {
    if ( ( int ) vec . get ( i ) > 0 ) mis . add ( i + 1 ) ;
  }
  return mis ;
}
","static Vector duplicateparenthesisElements ( Vector vec ) {
  Vector mis = new Vector ( ) ;
  for ( int i = 0 ;
  i < vec . size ( ) ;
  i ++ ) {
    int temp = Math . abs ( ( int ) vec . get ( i ) ) - 1 ;
    if ( ( int ) vec . get ( temp ) > 0 ) vec . set ( temp , - ( int ) vec . get ( temp ) ) ;
    else vec . set ( temp , vec . get ( temp ) ) ;
  }
  for ( int i = 0 ;
  i < vec . size ( ) ;
  i ++ ) {
    if ( ( int ) vec . get ( i ) > 0 ) mis . add ( i + 1 ) ;
  }
  return mis ;
}
","static Vector missing_elements ( Vector vec ) {
  Vector mis = new Vector ( ) ;
  int i = 0 ;
  while ( i < vec . size ( ) ) {
    int temp = Math . abs ( ( int ) vec . get ( i ) ) - 1 ;
    if ( ( int ) vec . get ( temp ) > 0 ) vec . set ( temp , - ( int ) vec . get ( temp ) ) ;
    else vec . set ( temp , vec . get ( temp ) ) ;
    i ++ ;
  }
  for ( int i = 0 ;
  i < vec . size ( ) ;
  i ++ ) {
    if ( 0 < ( int ) vec . get ( i ) ) mis . add ( i + 1 ) ;
  }
  return mis ;
}"
21,"static int run_tasks ( Queue < Integer > A , Queue < Integer > B ) {
  int total_time = 0 ;
  while ( ! A . isEmpty ( ) ) {
    int x = A . peek ( ) ;
    int y = B . peek ( ) ;
    if ( x == y ) {
      A . remove ( ) ;
      B . remove ( ) ;
      total_time ++ ;
    }
    else {
      A . remove ( ) ;
      A . add ( x ) ;
      total_time += 2 ;
    }
  }
  return total_time ;
}
","static int notesTasks ( Queue < Integer > A , Queue < Integer > B ) {
  int total_time = 0 ;
  while ( ! A . isEmpty ( ) ) {
    int x = A . peek ( ) ;
    int y = B . peek ( ) ;
    if ( x == y ) {
      A . remove ( ) ;
      B . remove ( ) ;
      total_time ++ ;
    }
    else {
      A . remove ( ) ;
      A . add ( x ) ;
      total_time += 2 ;
    }
  }
  return total_time ;
}
","static int run_tasks ( Queue < Integer > A , Queue < Integer > B ) {
  int total_time = 0 ;
  while ( ! A . isEmpty ( ) ) {
    int x = A . peek ( ) ;
    int y = B . peek ( ) ;
    if ( y != x ) {
      A . remove ( ) ;
      A . add ( x ) ;
      total_time = total_time + 2 ;
    }
    else {
      A . remove ( ) ;
      B . remove ( ) ;
      total_time ++ ;
    }
  }
  return total_time ;
}"
22,"static int countDistinctCode ( String str ) {
  Set < String > codes = new HashSet < > ( ) ;
  for ( int i = 0 ;
  i < str . length ( ) - 1 ;
  i ++ ) codes . add ( str . substring ( i , i + 2 ) ) ;
  return codes . size ( ) ;
}
","static int countDistinctTotal ( String str ) {
  Set < String > codes = new HashSet < > ( ) ;
  for ( int i = 0 ;
  i < str . length ( ) - 1 ;
  i ++ ) codes . add ( str . substring ( i , i + 2 ) ) ;
  return codes . size ( ) ;
}
","static int countDistinctCode ( String str ) {
  Set < String > codes = new HashSet < > ( ) ;
  int i = 0 ;
  while ( str . length ( ) - 1 > i ) {
    codes . add ( str . substring ( i , i + 2 ) ) ;
    i ++ ;
  }
  return codes . size ( ) ;
}"
